NAME, X, Y, Z, W, SUM
Pos, -1.36712,0.206186,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,0.0381002,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,0.0381002,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,0.109708,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,-0.0381038,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,0.0381001,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,0.0381001,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,-0.0381038,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,0.206186,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,0.168084,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,0.206186,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,-0.109712,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,-0.168088,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.219422,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,-0.206189,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.219422,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,-0.206189,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,-0.168088,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,-0.0381037,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,-0.109712,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,-0.0381038,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,0.168084,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,0.109708,32.9489, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,0.206186,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,-0.0381037,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,0.0381002,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,0.0381001,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,0.479828,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,0.313185,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,-0.0381038,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,0.206186,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.219419,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.219422,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.219419,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,0.206186,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,0.479828,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,0.206186,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.36712,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.219422,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.21703,-0.206189,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.15103,-0.168088,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,-0.109712,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,-0.0381037,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.43311,0.168084,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.4821,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,0.313185,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07598,0.0381002,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.10205,0.109708,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,0.0381001,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.50816,-0.0381038,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,0.108767,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,0.108767,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,0.108767,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,0.479828,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,0.313185,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,0.313185,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,0.479828,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,-0.313188,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,-0.10877,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.90893,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,0.588596,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,-0.479831,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,0.626371,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,0.588596,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.5063,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.29207,-0.626375,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.07784,-0.5886,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.889447,-0.479831,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,-0.313188,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.675215,-0.10877,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.0347, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.6947,0.479827,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -1.83453,0.313184,32.6224, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.749617,0.313185,32.0347, , 
