ThreadIndex,GroupId(X Y Z),ThreadId(X Y Z),DispatchThreadId(X Y Z),GroupID
214,<7 2 5>,<7 2 235>,<0 0 0>,6
215,<2 6 7>,<2 236 0>,<0 0 7>,7
216,<7 7 2>,<237 0 0>,<0 8 7>,2
217,<7 2 238>,<0 0 0>,<9 7 2>,9
218,<2 239 0>,<0 0 0>,<0 0 0>,0
219,<0 0 0>,<0 0 0>,<0 0 0>,0
220,<0 0 0>,<0 0 0>,<0 0 0>,0
221,<0 0 0>,<0 0 0>,<0 0 0>,0
222,<0 0 0>,<0 0 0>,<0 0 0>,0
223,<0 0 0>,<0 0 0>,<0 0 0>,0
224,<0 0 0>,<0 0 0>,<0 0 0>,0
225,<0 0 0>,<0 0 0>,<0 0 0>,0
226,<0 0 0>,<0 0 0>,<0 0 0>,0
227,<0 0 0>,<0 0 0>,<0 0 0>,0
228,<0 0 0>,<0 0 0>,<0 0 0>,0
229,<0 0 0>,<0 0 0>,<0 0 0>,0
230,<0 0 0>,<0 0 0>,<0 0 0>,0
231,<0 0 0>,<0 0 0>,<0 0 0>,0
232,<0 0 0>,<0 0 0>,<0 0 0>,0
233,<0 0 0>,<0 0 0>,<0 0 0>,0
234,<0 0 0>,<0 0 0>,<0 0 0>,0
235,<0 0 0>,<0 0 0>,<0 0 0>,0
236,<0 0 0>,<0 0 0>,<0 0 0>,0
237,<0 0 0>,<0 0 0>,<0 0 0>,0
238,<0 0 0>,<0 0 0>,<0 0 0>,0
239,<0 0 0>,<0 0 0>,<0 0 0>,0
